Condition,Model,R2,RMSE,MAE
35Hz12kN,Random Forest,0.649011388065037,0.12892970576469032,0.12082113505690804
35Hz12kN,BiLSTM,0.9151105531478418,0.06340643422358491,0.047062610877834275
35Hz12kN,CNN-BiLSTM,0.8325230079284986,0.08906027971750499,0.06878257172502483
37.5Hz11kN,Random Forest,0.6427767187224327,0.16100080895831886,0.14795216925725502
37.5Hz11kN,BiLSTM,0.478599102917455,0.1945109556178561,0.17940678485771075
37.5Hz11kN,CNN-BiLSTM,0.11826897355010202,0.2529450832608356,0.23642337541610733
40Hz10kN,Random Forest,-0.18074552628901053,0.22406264912604607,0.2075890739938569
40Hz10kN,BiLSTM,-2.5924477666649572,0.3908287855829133,0.35847079713437185
40Hz10kN,CNN-BiLSTM,-1.156771116121054,0.30282612645329343,0.27156707601416213
